,youtube_features,youtube_featurs_No
250,saying,18.66470065383657
251,after,18.384073495443445
252,love it,18.304641840997366
253,everyone,18.272944584576194
254,that was,18.118863737485647
255,wtf,18.11706576010425
256,sounds,18.101727279651527
257,though,18.02368753990777
258,ll,18.00483627089893
259,hope,17.986449201965517
260,watching,17.87961943452245
261,and the,17.845432169378473
262,try,17.751586227764022
263,sure,17.703009768167366
264,ok,17.654913690243085
265,the fuck,17.58825356977923
266,he is,17.505016774492923
267,gonna,17.444272270720138
268,anyone,17.418945488794268
269,lmao,17.40010695171702
270,part,17.327600302533114
271,to get,17.326528882824224
272,to do,17.310256239156843
273,again,17.305186212274762
274,big,17.274263110930338
275,such,17.270547376388187
276,you guys,17.266560449620112
277,hard,17.260838428819437
278,end,17.252118316249074
279,many,17.24901378415509
280,sing,17.209880171918833
281,wrong,17.1859091043596
282,world,17.17474338414075
283,year,17.114234103908327
284,hair,17.108939964870856
285,sound,17.09328724466753
286,with the,17.08587003651321
287,need to,17.08113527079751
288,die,17.01005984386726
289,years,16.96260998977537
290,she is,16.95340216916754
291,would be,16.86940484545723
292,hes,16.755283598444116
293,out of,16.727972590230547
294,into,16.654850519583402
295,doing,16.594200367506307
296,to see,16.579465599672822
297,wait,16.502448955595952
298,hot,16.488631686843586
299,10,16.478132418016774
300,the song,16.450561797909526
301,is that,16.34243798429347
302,happy,16.23950569424408
303,person,16.018729449057282
304,you should,16.00446600476617
305,doesn,15.978666600259704
306,the video,15.961578875340713
307,that is,15.95801898353373
308,maybe,15.914828575430612
309,what the,15.86727125065919
310,school,15.857954398517553
311,singing,15.776546783385465
312,looks like,15.683143400188232
313,hahaha,15.64717382166788
314,wish,15.63320692603841
315,vid,15.560960626814815
316,and you,15.556589040849905
317,ya,15.555285856878648
318,kid,15.480666191883257
319,you know,15.464990257250857
320,like the,15.429183787833106
321,perfect,15.374983134153547
322,kill,15.347915716761646
323,shut,15.32784573173904
324,true,15.294183117858049
325,justin,15.236983061144175
326,long,15.21980797858124
327,saw,15.214961280771744
328,things,15.178531368804542
329,wanna,15.161341586745474
330,call,15.1296953395243
331,favorite,15.03090377924903
332,our,14.952299868243436
333,is not,14.897762076021165
334,movie,14.87722091948869
335,while,14.859247724907245
336,didnt,14.829171339851353
337,next,14.800918026486203
338,seen,14.771535787587425
339,white,14.747779572413606
340,help,14.724253435459605
341,of my,14.718191915982892
342,agree,14.640940395750373
343,both,14.63543965178367
344,find,14.53975579041238
345,bro,14.474870323982227
346,so cute,14.454806111840966
347,two,14.443338538585508
348,lot,14.403492302214357
349,called,14.379292776698868
350,getting,14.307122129709175
351,making,14.303155364287557
352,nothing,14.257237608056016
353,like that,14.232500599045068
354,own,14.131671585243554
355,top,14.12737984516097
356,girls,14.124272904620016
357,fun,14.103568339357926
358,hear,14.06533394224966
359,probably,14.045161401031534
360,anything,14.037866500081075
361,check,14.015311933109894
362,baby,14.012934298608636
363,to make,13.937394705500164
364,yo,13.887034615110407
365,trying,13.885767318731514
366,will be,13.88113124976774
367,listen,13.86345100968064
368,and it,13.862373724976095
369,around,13.849986353212799
370,en,13.827479079865807
371,done,13.825239034838104
372,else,13.742087906838986
373,last,13.731694499041769
374,is this,13.725254461110065
375,to this,13.712177424378503
376,times,13.71076320631934
377,friend,13.699759454955188
378,isn,13.667389653880063
379,this was,13.620393873789567
380,cause,13.606660382252231
381,fake,13.598168093887484
382,better than,13.567973526036324
383,high,13.567599447684882
384,es,13.562201969036915
385,he was,13.531886364461299
386,ha,13.499963547446418
387,heard,13.456232251667101
388,head,13.388847588193714
389,whole,13.365682916087836
390,suck,13.363217737594509
391,must,13.348510162357497
392,that you,13.299461717258453
393,believe,13.264542678054852
394,songs,13.222086915625294
395,boy,13.209038046028592
396,sad,13.199654860364745
397,in my,13.1858436471897
398,the only,13.16892278724758
399,beat,13.132460031304783
400,used,13.118662439246398
